2H(12C,1p)13C @114.000 MeV (E*ejec = 0.000 / E*rec = 0.000)
Ejectile Lab Angle (deg.)    Ejectile Lab Energy (MeV)    C.M. Angle (deg.)    Recoil Lab Angle (deg.)    Recoil Lab Energy ( MeV)
0                            47.3069                      -0.00450397          0.000299632                69.4148                 
1                            47.2792                      1.64378              0.232244                   69.4426                 
2                            47.2514                      3.29206              0.464189                   69.4703                 
3                            47.2052                      4.93888              0.695535                   69.5166                 
4                            47.1405                      6.58491              0.925985                   69.5812                 
5                            47.0574                      8.23052              1.15524                    69.6644                 
6                            46.9561                      9.87532              1.38302                    69.7657                 
7                            46.8365                      11.5193              1.60903                    69.8852                 
8                            46.6991                      13.1624              1.83299                    70.0226                 
9                            46.5437                      14.8043              2.05462                    70.1781                 
10                           46.3707                      16.445               2.27366                    70.3511                 
11                           46.1802                      18.0845              2.48985                    70.5416                 
12                           45.9725                      19.7224              2.70293                    70.7493                 
13                           45.7476                      21.3587              2.91266                    70.9741                 
14                           45.506                       22.9933              3.11879                    71.2157                 
15                           45.2481                      24.6259              3.32112                    71.4737                 
16                           44.9738                      26.2566              3.51942                    71.748                  
17                           44.6836                      27.885               3.71349                    72.0382                 
18                           44.3778                      29.5111              3.90313                    72.3439                 
19                           44.0569                      31.1347              4.08817                    72.6649                 
20                           43.721                       32.7558              4.26843                    73.0007                 
21                           43.3707                      34.3741              4.44375                    73.351                  
22                           43.0064                      35.9895              4.614                      73.7154                 
23                           42.6282                      37.6019              4.77903                    74.0935                 
24                           42.2368                      39.211               4.93872                    74.4849                 
25                           41.8325                      40.8169              5.09295                    74.8892                 
26                           41.4159                      42.4192              5.24165                    75.3059                 
27                           40.9872                      44.0178              5.38472                    75.7345                 
28                           40.5472                      45.6126              5.52208                    76.1745                 
29                           40.096                       47.2035              5.65366                    76.6258                 
30                           39.6343                      48.7902              5.77942                    77.0874                 
31                           39.1626                      50.3727              5.89933                    77.5591                 
32                           38.6814                      51.9507              6.01335                    78.0403                 
33                           38.1911                      53.524               6.12145                    78.5306                 
34                           37.6923                      55.0926              6.22364                    79.0294                 
35                           37.1856                      56.6562              6.31992                    79.5362                 
36                           36.6713                      58.2146              6.41029                    80.0504                 
37                           36.15                        59.7678              6.49477                    80.5717                 
38                           35.6225                      61.3154              6.57342                    81.0993                 
39                           35.089                       62.8574              6.64625                    81.6328                 
40                           34.5501                      64.3936              6.71331                    82.1717                 
41                           34.0064                      65.9237              6.77466                    82.7153                 
42                           33.4585                      67.4476              6.83037                    83.2633                 
43                           32.9069                      68.9651              6.88051                    83.8149                 
44                           32.3519                      70.4759              6.92512                    84.3699                 
45                           31.7943                      71.98                6.96433                    84.9274                 
46                           31.2345                      73.4771              6.9982                     85.4872                 
47                           30.6732                      74.9671              7.02684                    86.0486                 
48                           30.1107                      76.4496              7.05035                    86.6111                 
49                           29.5475                      77.9246              7.06882                    87.1742                 
50                           28.9844                      79.3917              7.08238                    87.7374                 
51                           28.4214                      80.8509              7.0911                     88.3003                 
52                           27.8595                      82.3019              7.09515                    88.8622                 
