 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Aluminum

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.515E-02  5.405E-02      16 A        21 A        16 A   
    110 eV    2.638E-02  5.547E-02      17 A        23 A        17 A   
    120 eV    2.755E-02  5.675E-02      18 A        24 A        18 A   
    130 eV    2.868E-02  5.792E-02      19 A        25 A        19 A   
139.999 eV    2.976E-02  5.898E-02      20 A        26 A        20 A   
149.999 eV    3.080E-02  5.996E-02      21 A        27 A        20 A   
159.999 eV    3.181E-02  6.086E-02      22 A        28 A        21 A   
169.999 eV    3.279E-02  6.170E-02      23 A        30 A        22 A   
179.999 eV    3.374E-02  6.248E-02      24 A        31 A        23 A   
199.999 eV    3.557E-02  6.387E-02      26 A        33 A        24 A   
224.999 eV    3.773E-02  6.537E-02      29 A        35 A        26 A   
249.999 eV    3.977E-02  6.665E-02      31 A        38 A        28 A   
274.999 eV    4.171E-02  6.776E-02      34 A        40 A        30 A   
299.999 eV    4.356E-02  6.872E-02      36 A        43 A        32 A   
324.999 eV    4.534E-02  6.956E-02      38 A        45 A        34 A   
349.999 eV    4.705E-02  7.029E-02      41 A        47 A        35 A   
374.999 eV    4.870E-02  7.094E-02      43 A        49 A        37 A   
399.999 eV    5.030E-02  7.151E-02      45 A        52 A        39 A   
449.999 eV    5.335E-02  7.245E-02      50 A        56 A        42 A   
499.999 eV    5.624E-02  7.319E-02      54 A        60 A        45 A   
