 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Boron

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    4.984E-02  1.517E-01      12 A        10 A         8 A   
    110 eV    5.227E-02  1.543E-01      13 A        11 A         8 A   
    120 eV    5.460E-02  1.565E-01      14 A        12 A         9 A   
    130 eV    5.683E-02  1.584E-01      15 A        12 A         9 A   
139.999 eV    5.897E-02  1.601E-01      16 A        13 A        10 A   
149.999 eV    6.104E-02  1.616E-01      17 A        14 A        10 A   
159.999 eV    6.304E-02  1.629E-01      18 A        14 A        11 A   
169.999 eV    6.498E-02  1.640E-01      19 A        15 A        11 A   
179.999 eV    6.687E-02  1.650E-01      20 A        15 A        11 A   
199.999 eV    7.048E-02  1.668E-01      21 A        17 A        12 A   
224.999 eV    7.476E-02  1.684E-01      24 A        18 A        13 A   
249.999 eV    7.880E-02  1.696E-01      26 A        19 A        14 A   
274.999 eV    8.265E-02  1.704E-01      28 A        21 A        15 A   
299.999 eV    8.633E-02  1.709E-01      30 A        22 A        16 A   
324.999 eV    8.985E-02  1.713E-01      32 A        23 A        17 A   
349.999 eV    9.324E-02  1.714E-01      34 A        25 A        18 A   
374.999 eV    9.651E-02  1.714E-01      36 A        26 A        19 A   
399.999 eV    9.968E-02  1.713E-01      38 A        27 A        20 A   
449.999 eV    1.057E-01  1.707E-01      42 A        30 A        22 A   
499.999 eV    1.114E-01  1.699E-01      47 A        32 A        24 A   
