 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Phosphorus

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.461E-02  4.526E-02      25 A        36 A        26 A   
    110 eV    2.581E-02  4.651E-02      27 A        38 A        28 A   
    120 eV    2.696E-02  4.764E-02      29 A        40 A        29 A   
    130 eV    2.806E-02  4.868E-02      30 A        42 A        31 A   
139.999 eV    2.912E-02  4.963E-02      32 A        43 A        32 A   
149.999 eV    3.014E-02  5.050E-02      33 A        45 A        34 A   
159.999 eV    3.113E-02  5.131E-02      35 A        47 A        35 A   
169.999 eV    3.209E-02  5.207E-02      37 A        49 A        36 A   
179.999 eV    3.302E-02  5.277E-02      38 A        51 A        38 A   
199.999 eV    3.480E-02  5.404E-02      41 A        54 A        40 A   
224.999 eV    3.691E-02  5.541E-02      45 A        58 A        43 A   
249.999 eV    3.891E-02  5.660E-02      49 A        62 A        46 A   
274.999 eV    4.081E-02  5.763E-02      52 A        66 A        49 A   
299.999 eV    4.263E-02  5.854E-02      56 A        70 A        52 A   
324.999 eV    4.437E-02  5.934E-02      59 A        74 A        55 A   
349.999 eV    4.604E-02  6.004E-02      63 A        77 A        58 A   
374.999 eV    4.766E-02  6.067E-02      66 A        81 A        60 A   
399.999 eV    4.922E-02  6.123E-02      70 A        84 A        63 A   
449.999 eV    5.221E-02  6.219E-02      77 A        91 A        68 A   
499.999 eV    5.503E-02  6.296E-02      84 A        98 A        73 A   
