 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Si- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.468E-02  8.007E-02      22 A        26 A        19 A   
    110 eV    2.588E-02  8.192E-02      24 A        27 A        21 A   
    120 eV    2.703E-02  8.359E-02      25 A        29 A        22 A   
    130 eV    2.814E-02  8.509E-02      27 A        30 A        23 A   
139.999 eV    2.920E-02  8.644E-02      28 A        32 A        24 A   
149.999 eV    3.022E-02  8.768E-02      30 A        33 A        25 A   
159.999 eV    3.121E-02  8.881E-02      31 A        35 A        26 A   
169.999 eV    3.217E-02  8.984E-02      33 A        36 A        27 A   
179.999 eV    3.311E-02  9.080E-02      34 A        37 A        28 A   
199.999 eV    3.490E-02  9.249E-02      37 A        40 A        30 A   
224.999 eV    3.701E-02  9.427E-02      40 A        43 A        33 A   
249.999 eV    3.902E-02  9.575E-02      44 A        47 A        35 A   
274.999 eV    4.092E-02  9.699E-02      47 A        50 A        38 A   
299.999 eV    4.274E-02  9.804E-02      51 A        53 A        40 A   
324.999 eV    4.449E-02  9.893E-02      54 A        56 A        42 A   
349.999 eV    4.617E-02  9.968E-02      58 A        59 A        45 A   
374.999 eV    4.779E-02  1.003E-01      61 A        62 A        47 A   
399.999 eV    4.935E-02  1.009E-01      64 A        65 A        49 A   
449.999 eV    5.235E-02  1.017E-01      71 A        71 A        53 A   
499.999 eV    5.518E-02  1.023E-01      78 A        76 A        58 A   
