Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.002109	0.106906  	0.100604  	0.0844665 	0.0844665 	0.00543529	0.00543529	0.000288189	0.000466197	0.000208591
0.002111	0.106986  	0.100675  	0.0845295 	0.0845295 	0.00543579	0.00543579	0.000288561	0.000466779	0.000208871
0.002113	0.107067  	0.100747  	0.0845924 	0.0845924 	0.00543629	0.00543629	0.000288932	0.000467361	0.000209151
0.002115	0.107147  	0.100819  	0.0846554 	0.0846554 	0.00543678	0.00543678	0.000289304	0.000467943	0.000209431
0.002118	0.107227  	0.100891  	0.0847183 	0.0847183 	0.00543728	0.00543728	0.000289675	0.000468524	0.000209711
0.002120	0.107308  	0.100962  	0.0847813 	0.0847813 	0.00543777	0.00543777	0.000290047	0.000469106	0.000209991
0.002122	0.107388  	0.101034  	0.0848442 	0.0848442 	0.00543827	0.00543827	0.000290418	0.000469688	0.000210271
0.002124	0.107468  	0.101106  	0.0849071 	0.0849071 	0.00543877	0.00543877	0.00029079	0.00047027	0.000210551
0.002126	0.107549  	0.101177  	0.0849701 	0.0849701 	0.00543926	0.00543926	0.000291161	0.000470852	0.000210831
0.002128	0.107629  	0.101249  	0.085033  	0.085033  	0.00543976	0.00543976	0.000291533	0.000471434	0.000211111
0.002131	0.107709  	0.101321  	0.085096  	0.085096  	0.00544025	0.00544025	0.000291904	0.000472016	0.000211391
0.002133	0.10779   	0.101392  	0.0851589 	0.0851589 	0.00544075	0.00544075	0.000292276	0.000472598	0.000211671
0.002135	0.10787   	0.101464  	0.0852219 	0.0852219 	0.00544125	0.00544125	0.000292647	0.00047318	0.000211951
0.002137	0.107951  	0.101536  	0.0852848 	0.0852848 	0.00544174	0.00544174	0.000293019	0.000473761	0.000212231
0.002139	0.108031  	0.101608  	0.0853477 	0.0853477 	0.00544224	0.00544224	0.00029339	0.000474343	0.000212511
